year,month,day,statefips,case_count,new_case_count
2020,May,4,California,56333,1589
2020,May,4,Florida,36889,680
2020,May,4,Illinois,63840,2565
2020,May,4,Texas,33134,1024
2020,May,4,Wisconsin,8362,314
2020,May,5,California,58848,1754
2020,May,5,Florida,37431,656
2020,May,5,Illinois,65889,2541
2020,May,5,Texas,34286,1060
2020,May,5,Wisconsin,8696,330
2020,May,6,California,60787,1698
2020,May,6,Florida,37994,687
2020,May,6,Illinois,68164,2544
2020,May,6,Texas,35441,1086
2020,May,6,Wisconsin,9052,347
2020,May,7,California,62481,1716
2020,May,7,Florida,38820,734
2020,May,7,Illinois,70802,2555
2020,May,7,Texas,36682,1087
2020,May,7,Wisconsin,9369,342
2020,May,8,California,64616,1757
2020,May,8,Florida,39191,639
2020,May,8,Illinois,73688,2519
2020,May,8,Texas,37943,1086
2020,May,8,Wisconsin,9750,330
2020,May,9,California,66824,1867
2020,May,9,Florida,39993,648
2020,May,9,Illinois,76008,2500
2020,May,9,Texas,38849,1059
2020,May,9,Wisconsin,10099,331
2020,May,10,California,68051,1854
2020,May,10,Florida,40588,645
2020,May,10,Illinois,77662,2309
2020,May,10,Texas,40037,1105
2020,May,10,Wisconsin,10379,327
2020,May,11,California,69514,1883
2020,May,11,Florida,40974,584
2020,May,11,Illinois,79123,2183
2020,May,11,Texas,40988,1122
2020,May,11,Wisconsin,10581,317
2020,May,12,California,71150,1757
2020,May,12,Florida,41915,641
2020,May,12,Illinois,83168,2468
2020,May,12,Texas,42348,1152
2020,May,12,Wisconsin,10781,298
2020,May,13,California,73218,1776
2020,May,13,Florida,42394,629
2020,May,13,Illinois,84874,2387
2020,May,13,Texas,43822,1197
2020,May,13,Wisconsin,11071,288
2020,May,14,California,74947,1781
2020,May,14,Florida,43202,626
2020,May,14,Illinois,88081,2468
2020,May,14,Texas,45169,1212
2020,May,14,Wisconsin,11449,297
2020,May,15,California,77015,1771
2020,May,15,Florida,44130,706
2020,May,15,Illinois,90528,2406
2020,May,15,Texas,46987,1292
2020,May,15,Wisconsin,12037,327
2020,May,16,California,78933,1730
2020,May,16,Florida,44803,687
2020,May,16,Illinois,92669,2380
2020,May,16,Texas,47866,1288
2020,May,16,Wisconsin,12551,350
2020,May,17,California,80366,1759
2020,May,17,Florida,45580,713
2020,May,17,Illinois,94360,2385
2020,May,17,Texas,48828,1256
2020,May,17,Wisconsin,12754,339
2020,May,18,California,81943,1776
2020,May,18,Florida,46434,780
2020,May,18,Illinois,96778,2522
2020,May,18,Texas,49788,1257
2020,May,18,Wisconsin,12912,333
2020,May,19,California,83981,1833
2020,May,19,Florida,46936,717
2020,May,19,Illinois,98298,2161
2020,May,19,Texas,51080,1247
2020,May,19,Wisconsin,13200,346
2020,May,20,California,86125,1844
2020,May,20,Florida,47463,724
2020,May,20,Illinois,100713,2263
2020,May,20,Texas,52369,1221
2020,May,20,Wisconsin,13779,387
2020,May,21,California,88488,1934
2020,May,21,Florida,48667,781
2020,May,21,Illinois,102995,2131
2020,May,21,Texas,53441,1182
2020,May,21,Wisconsin,14172,389
2020,May,22,California,90801,1969
2020,May,22,Florida,49443,759
2020,May,22,Illinois,105710,2169
2020,May,22,Texas,54369,1055
2020,May,22,Wisconsin,14768,390
2020,May,23,California,92815,1983
2020,May,23,Florida,50119,759
2020,May,23,Illinois,108100,2204
2020,May,23,Texas,55451,1084
2020,May,23,Wisconsin,15196,378
2020,May,24,California,94743,2054
2020,May,24,Florida,50859,754
2020,May,24,Illinois,110541,2312
2020,May,24,Texas,56050,1032
2020,May,24,Wisconsin,15573,403
2020,May,25,California,97017,2153
2020,May,25,Florida,51738,758
2020,May,25,Illinois,112248,2210
2020,May,25,Texas,56490,957
2020,May,25,Wisconsin,15857,421
2020,May,26,California,99924,2278
2020,May,26,Florida,52247,759
2020,May,26,Illinois,113486,2170
2020,May,26,Texas,57573,928
2020,May,26,Wisconsin,16141,420
2020,May,27,California,101873,2250
2020,May,27,Florida,52626,738
2020,May,27,Illinois,114612,1986
2020,May,27,Texas,59105,962
2020,May,27,Wisconsin,16786,430
2020,May,28,California,104071,2226
2020,May,28,Florida,53277,659
2020,May,28,Illinois,116128,1876
2020,May,28,Texas,60820,1054
2020,May,28,Wisconsin,17476,472
2020,May,29,California,107043,2320
2020,May,29,Florida,54489,721
2020,May,29,Illinois,117794,1726
2020,May,29,Texas,62073,1101
2020,May,29,Wisconsin,18050,469
2020,May,30,California,110100,2469
2020,May,30,Florida,55416,757
2020,May,30,Illinois,119290,1599
2020,May,30,Texas,63396,1135
2020,May,30,Wisconsin,18515,474
2020,May,31,California,113114,2624
2020,May,31,Florida,56155,757
2020,May,31,Illinois,120588,1435
2020,May,31,Texas,64974,1275
2020,May,31,Wisconsin,18684,444
2020,June,1,California,115643,2661
2020,June,1,Florida,56822,726
2020,June,1,Illinois,121666,1345
2020,June,1,Texas,66081,1370
2020,June,1,Wisconsin,18825,424
2020,June,2,California,118081,2594
2020,June,2,Florida,57439,742
2020,June,2,Illinois,123244,1394
2020,June,2,Texas,67966,1485
2020,June,2,Wisconsin,19223,440
2020,June,3,California,120407,2648
2020,June,3,Florida,58756,876
2020,June,3,Illinois,124279,1381
2020,June,3,Texas,69546,1492
2020,June,3,Wisconsin,19896,444
2020,June,4,California,122917,2692
2020,June,4,Florida,60175,985
2020,June,4,Illinois,125149,1289
2020,June,4,Texas,71330,1501
2020,June,4,Wisconsin,20359,412
2020,June,5,California,126510,2781
2020,June,5,Florida,61480,999
2020,June,5,Illinois,126317,1218
2020,June,5,Texas,73323,1607
2020,June,5,Wisconsin,20723,382
2020,June,6,California,129147,2721
2020,June,6,Florida,62750,1048
2020,June,6,Illinois,127251,1137
2020,June,6,Texas,75077,1669
2020,June,6,Wisconsin,20997,355
2020,June,7,California,131997,2698
2020,June,7,Florida,63930,1111
2020,June,7,Illinois,128070,1069
2020,June,7,Texas,75948,1568
2020,June,7,Wisconsin,21246,366
2020,June,8,California,134287,2663
2020,June,8,Florida,64896,1153
2020,June,8,Illinois,129543,1125
2020,June,8,Texas,77326,1606
2020,June,8,Wisconsin,21463,377
2020,June,9,California,137245,2738
2020,June,9,Florida,65992,1222
2020,June,9,Illinois,130321,1011
2020,June,9,Texas,79271,1615
2020,June,9,Wisconsin,21738,359
2020,June,10,California,140139,2819
2020,June,10,Florida,67363,1230
2020,June,10,Illinois,130889,944
2020,June,10,Texas,81771,1746
2020,June,10,Wisconsin,24091,599
2020,June,11,California,143709,2970
2020,June,11,Florida,69061,1269
2020,June,11,Illinois,131731,940
2020,June,11,Texas,83772,1777
2020,June,11,Wisconsin,24411,579
2020,June,12,California,147285,2968
2020,June,12,Florida,70963,1355
2020,June,12,Illinois,132489,882
2020,June,12,Texas,86031,1815
2020,June,12,Wisconsin,24733,573
2020,June,13,California,150434,3041
2020,June,13,Florida,73544,1542
2020,June,13,Illinois,133117,838
2020,June,13,Texas,88120,1863
2020,June,13,Wisconsin,25026,576
2020,June,14,California,152953,2994
2020,June,14,Florida,75560,1661
2020,June,14,Illinois,133719,807
2020,June,14,Texas,89542,1942
2020,June,14,Wisconsin,25307,580
2020,June,15,California,155662,3054
2020,June,15,Florida,77318,1775
2020,June,15,Illinois,134247,672
2020,June,15,Texas,91726,2057
2020,June,15,Wisconsin,25530,581
2020,June,16,California,159131,3127
2020,June,16,Florida,80101,2016
2020,June,16,Illinois,134866,649
2020,June,16,Texas,95973,2386
2020,June,16,Wisconsin,25829,584
2020,June,17,California,163381,3320
2020,June,17,Florida,82711,2193
2020,June,17,Illinois,135416,647
2020,June,17,Texas,99466,2528
2020,June,17,Wisconsin,26167,297
2020,June,18,California,167135,3347
2020,June,18,Florida,85918,2408
2020,June,18,Illinois,136081,621
2020,June,18,Texas,102677,2701
2020,June,18,Wisconsin,26611,314
2020,June,19,California,170843,3365
2020,June,19,Florida,89740,2682
2020,June,19,Illinois,136917,633
2020,June,19,Texas,107322,3042
2020,June,19,Wisconsin,26913,311
2020,June,20,California,174854,3489
2020,June,20,Florida,93789,2892
2020,June,20,Illinois,137535,631
2020,June,20,Texas,111594,3353
2020,June,20,Wisconsin,27314,327
2020,June,21,California,178807,3693
2020,June,21,Florida,97283,3103
2020,June,21,Illinois,138154,634
2020,June,21,Texas,114886,3621
2020,June,21,Wisconsin,27598,327
2020,June,22,California,184620,4137
2020,June,22,Florida,100209,3270
2020,June,22,Illinois,138615,624
2020,June,22,Texas,119646,3989
2020,June,22,Wisconsin,27849,331
2020,June,23,California,191039,4558
2020,June,23,Florida,103495,3342
2020,June,23,Illinois,139282,631
2020,June,23,Texas,124726,4108
2020,June,23,Wisconsin,28187,337
2020,June,24,California,195889,4644
2020,June,24,Florida,109006,3756
2020,June,24,Illinois,140025,658
2020,June,24,Texas,131310,4549
2020,June,24,Wisconsin,28652,355
2020,June,25,California,201413,4897
2020,June,25,Florida,114010,4013
2020,June,25,Illinois,140935,693
2020,June,25,Texas,136783,4872
2020,June,25,Wisconsin,29204,370
2020,June,26,California,207027,5169
2020,June,26,Florida,122952,4745
2020,June,26,Illinois,141812,699
2020,June,26,Texas,142582,5037
2020,June,26,Wisconsin,29718,401
2020,June,27,California,211453,5228
2020,June,27,Florida,132537,5535
2020,June,27,Illinois,142536,714
2020,June,27,Texas,148639,5292
2020,June,27,Wisconsin,30235,417
2020,June,28,California,216955,5450
2020,June,28,Florida,141067,6255
2020,June,28,Illinois,143117,709
2020,June,28,Texas,152866,5426
2020,June,28,Wisconsin,30716,445
2020,June,29,California,223995,5625
2020,June,29,Florida,146333,6589
2020,June,29,Illinois,143885,753
2020,June,29,Texas,158756,5587
2020,June,29,Wisconsin,31103,465
2020,June,30,California,232153,5873
2020,June,30,Florida,152426,6990
2020,June,30,Illinois,144661,768
2020,June,30,Texas,166703,5997
2020,June,30,Wisconsin,31723,505
